"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"acepack","acepack","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"AER","AER","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-5",NA,"R (>= 2.13.0), car (>= 2.0-19), lmtest, sandwich, survival (>=
2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit, truncreg, tseries, urca,
vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"akima","akima","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-2",NA,"R (>= 2.0.0)","sp",NA,NA,NA,"ACM | file LICENSE",NA,"yes",NA,NA,"yes","3.5.0"
"alr4","alr4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.6",NA,"R (>= 3.0), car, effects",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"antiword","antiword","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,NA,"sys",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"ape","ape","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"arm","arm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.10-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"ascii","ascii","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1",NA,"R (>= 2.13), utils, methods",NA,NA,"survival, Hmisc, xtable, R2HTML, cacheSweave, weaver",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"ash","ash","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"askpass","askpass","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,NA,"tools",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"AUC","AUC","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"audio","audio","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-5.1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"aws.s3","aws.s3","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.12",NA,NA,"utils, tools, httr, xml2 (> 1.0.0), base64enc, digest,
aws.signature (>= 0.3.7)",NA,"testthat, datasets",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"aws.signature","aws.signature","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.4",NA,NA,"digest, base64enc",NA,"testthat, aws.ec2metadata (>= 0.1.5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.2",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"bartMachine","bartMachine","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.4.2",NA,"R (>= 2.14.0), rJava (>= 0.9-8), bartMachineJARs (>= 1.0),
car, randomForest, missForest","graphics, grDevices, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"bartMachineJARs","bartMachineJARs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,"R (>= 2.14.0), rJava (>= 0.9-8)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"base","base","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,NA,NA,"methods",NA,"Part of R 3.5.1",NA,NA,NA,NA,NA,"3.5.1"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"bayesplot","bayesplot","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5.0",NA,"R (>= 3.1.0)","dplyr (>= 0.7.1), ggplot2 (>= 2.2.1), reshape2, stats, utils,
rlang, ggridges",NA,"arm, gridExtra (>= 2.2.1), knitr (>= 1.16), loo (>= 1.1.0),
rmarkdown (>= 1.0.0), rstan (>= 2.14.1), rstanarm (>= 2.14.1),
rstantools (>= 1.4.0), scales, shinystan (>= 2.3.0), testthat,
vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"BB","BB","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2014.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
